"This is an education issue. Once again, education could be the difference, but we still apply the money to less important budgets. #vaccine https://t.co/IxntEdvFXN",0,Vaccine,1
The provincial government has identified an area in central Kitchener as a COVID-19 hot spot.​  https://t.co/kM3KxzP2pr,0,Legislation,11
"thousands of us examined in Court Ordered Hearings, subsequent Hatch Act Trials concerning this COVID19 embattlement and protection, vaccines unheard of, lab tests, housing fraud, benefits fraud. https://t.co/IoFux3NkiO",1,Statistics,8
"The government: Stay home to control the spread of COVID-19
Introverts: https://t.co/5zc6QPGKQ6",1,Legislation,11
"In Wisconsin, there's a reason they had to open a field hospital, as the state experiences a surge of new virus cases.  https://t.co/4MFDyqvDYL",0,Statistics,8
"Despite brutal crackdown by Junta terrorists, anti Military Movement of educational strike was successfully marched at AungMyay TharSan Tsp, Mandalay Region.   WE NEED HELP FOR COVID-19 #WhatsHappeningInMyanmar #July11Coup #MyanmarNeedsO2 https://t.co/IipsiqvAq3",1,Education,5
"""I got vaccinated to help protect those that are vulnerable and sacred to us, our elders and children, and to help stop the Virus."" - Linda Bad Yellow Eyes, Legal Assistant &amp; Office Manager

Let us know why you got your COVID-19 vaccine.
#OSTvacciNATION https://t.co/WWWl2xKBqE",0,Work,10
"So, @realDonaldTrump will resume #coronavirus briefings tomorrow (likely by calling it cured and everyone go to school and get drunk while yelling at baseball) while sending cops everywhere to tear gas moms and real veterans. Yay?",1,Education,5
‘Zero new positive tests since yesterday’ encapsulates #COVID19 inAmerica and the NFL perfectly. https://t.co/c0SPRn702Z,1,Testing,14
"We're probably gonna hit 250 before this is over! Hopefully we can just hang on for a couple of weeks until President Biden can deploy military field medics to help out the local hospitals with makeshift field hospitals, and hopefully they will also have access to the vaccine! https://t.co/pGm38u2aI3",1,Health,9
Useful confirmation that you only need to give your name and date of birth at the COVID-19 vaccine walk-ins https://t.co/GHw5bcu5rQ,1,Vaccine,1
